symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
ETHUSDT,SHORT,2023-01-14 01:07:00,2023-01-14 01:08:00,1556.31,1555.53,1552.42,0,0.36,0.18,0.08,1,TP
ETHUSDT,SHORT,2023-01-14 01:18:00,2023-01-14 01:21:00,1560.14,1559.52,1556.4,0,0.36,0.1799,0.08,3,TP
ETHUSDT,SHORT,2023-01-14 01:57:00,2023-01-14 02:04:00,1556.69,1556.07,1552.96,1,0.72,0.1797,0.16,7,TP
ETHUSDT,SHORT,2023-01-14 02:11:00,2023-01-14 02:15:00,1560.8,1560.18,1557.06,0,0.36,0.1798,0.08,4,TP
ETHUSDT,SHORT,2023-01-14 04:35:00,2023-01-14 04:37:00,1558.33,1557.71,1554.59,0,0.36,0.1801,0.08,2,TP
ETHUSDT,LONG,2023-01-14 04:43:00,2023-01-14 04:54:00,1552.47,1553.09,1556.2,0,0.36,0.1803,0.08,11,TP
ETHUSDT,SHORT,2023-01-14 08:35:00,2023-01-14 09:06:00,1564.47,1563.84,1560.71,0,0.36,0.1799,0.08,31,TP
ETHUSDT,LONG,2023-01-14 10:20:00,2023-01-14 10:25:00,1512.92,1513.58,1516.61,2,1.08,0.1801,0.24,5,TP
ETHUSDT,LONG,2023-01-14 11:40:00,2023-01-14 11:41:00,1526.81,1527.42,1530.47,0,0.36,0.1801,0.08,1,TP
ETHUSDT,LONG,2023-01-14 12:14:00,2023-01-14 12:16:00,1524.07,1524.68,1527.73,0,0.36,0.1798,0.08,2,TP
ETHUSDT,LONG,2023-01-14 13:38:00,2023-01-14 13:44:00,1531.05,1531.66,1534.72,0,0.36,0.1801,0.08,6,TP
ETHUSDT,LONG,2023-01-14 17:53:00,2023-01-14 17:56:00,1530.05,1530.66,1533.72,0,0.36,0.1803,0.08,3,TP
ETHUSDT,LONG,2023-01-14 18:27:00,2023-01-14 18:33:00,1526.85,1527.61,1530.67,0,0.36,0.1799,0.08,6,TP
ETHUSDT,SHORT,2023-01-14 19:49:00,2023-01-14 19:52:00,1538.47,1537.85,1534.77,0,0.36,0.1803,0.08,3,TP
ETHUSDT,SHORT,2023-01-14 20:57:00,2023-01-14 21:04:00,1537.8,1537.18,1534.11,0,0.36,0.1798,0.08,7,TP
ETHUSDT,SHORT,2023-01-14 21:11:00,2023-01-14 21:16:00,1538.96,1538.34,1535.26,0,0.36,0.1803,0.08,5,TP
ETHUSDT,LONG,2023-01-14 21:29:00,2023-01-14 21:30:00,1532.28,1532.89,1535.96,0,0.36,0.1806,0.08,1,TP
ETHUSDT,SHORT,2023-01-14 21:37:00,2023-01-14 22:39:00,1551.41,1550.79,1547.69,2,1.08,0.1798,0.24,62,TP
ETHUSDT,SHORT,2023-01-14 22:56:00,2023-01-14 23:06:00,1553.18,1552.56,1549.45,0,0.36,0.1802,0.08,10,TP
ETHUSDT,LONG,2023-01-15 02:56:00,2023-01-15 03:15:00,1522.92,1523.68,1526.73,0,0.36,0.1805,0.08,19,TP
ETHUSDT,LONG,2023-01-15 03:21:00,2023-01-15 03:22:00,1518.43,1519.04,1522.08,0,0.36,0.18,0.08,1,TP
ETHUSDT,SHORT,2023-01-15 04:35:00,2023-01-15 04:45:00,1530.73,1530.12,1527.06,0,0.36,0.1802,0.08,10,TP
ETHUSDT,LONG,2023-01-15 08:52:00,2023-01-15 09:22:00,1522.7,1523.31,1526.36,0,0.36,0.18,0.08,30,TP
ETHUSDT,SHORT,2023-01-15 10:14:00,2023-01-15 10:18:00,1534.45,1533.84,1530.77,0,0.36,0.1803,0.08,4,TP
ETHUSDT,SHORT,2023-01-15 15:10:00,2023-01-15 16:16:00,1556.19,1555.56,1552.45,12,4.67,0.1796,1.04,66,TP
ETHUSDT,LONG,2023-01-15 16:39:00,2023-01-15 17:03:00,1545.59,1546.21,1549.3,0,0.36,0.18,0.08,24,TP
ETHUSDT,SHORT,2023-01-15 17:13:00,2023-01-15 17:31:00,1558.34,1557.72,1554.6,4,1.8,0.1801,0.4,18,TP
