symbol,side,open_time,close_time,ep,bep,tp,dca_count,pnl_usd,pnl_pct,fee_usd,holding_minutes,close_reason
BTCUSDT,LONG,2024-01-04 23:12:00,2024-01-04 23:22:00,44205.4,44223.1,44311.5,0,0.4,0.1799,0.09,10,TP
BTCUSDT,SHORT,2024-01-05 02:44:00,2024-01-05 02:55:00,43618.3,43596.5,43509.3,0,0.39,0.1799,0.09,11,TP
BTCUSDT,SHORT,2024-01-05 03:02:00,2024-01-05 03:05:00,43675.8,43658.3,43571.0,1,0.79,0.1798,0.17,3,TP
BTCUSDT,LONG,2024-01-05 04:09:00,2024-01-05 04:34:00,43329.1,43346.4,43433.1,1,0.78,0.1802,0.17,25,TP
BTCUSDT,SHORT,2024-01-05 12:24:00,2024-01-05 12:29:00,44056.5,44036.7,43948.6,1,0.79,0.1799,0.18,5,TP
BTCUSDT,LONG,2024-01-05 14:58:00,2024-01-05 15:00:00,43468.6,43486.0,43573.0,0,0.39,0.1802,0.09,2,TP
BTCUSDT,LONG,2024-01-05 16:20:00,2024-01-05 16:43:00,43417.5,43434.9,43521.8,0,0.39,0.1802,0.09,23,TP
BTCUSDT,LONG,2024-01-05 16:49:00,2024-01-05 16:50:00,43237.5,43254.8,43341.3,0,0.39,0.1799,0.09,1,TP
BTCUSDT,SHORT,2024-01-05 19:23:00,2024-01-05 19:27:00,43652.6,43635.1,43547.8,0,0.39,0.1799,0.09,4,TP
BTCUSDT,SHORT,2024-01-05 20:54:00,2024-01-05 20:55:00,44148.6,44126.5,44038.2,0,0.4,0.1799,0.09,1,TP
BTCUSDT,LONG,2024-01-05 21:06:00,2024-01-05 21:07:00,43659.7,43677.2,43764.6,0,0.39,0.1799,0.09,1,TP
BTCUSDT,SHORT,2024-01-06 23:32:00,2024-01-07 01:02:00,44140.9,44122.6,44034.4,6,2.78,0.1801,0.62,90,TP
BTCUSDT,LONG,2024-01-08 03:15:00,2024-01-08 03:18:00,43317.1,43338.8,43425.5,0,0.39,0.1802,0.09,3,TP
BTCUSDT,LONG,2024-01-08 03:25:00,2024-01-08 03:39:00,43278.3,43295.6,43382.2,0,0.39,0.1802,0.09,14,TP
BTCUSDT,SHORT,2024-01-08 03:45:00,2024-01-08 06:48:00,44004.1,43986.5,43898.5,12,5.15,0.18,1.14,183,TP
BTCUSDT,LONG,2024-01-08 07:26:00,2024-01-08 07:53:00,43831.6,43849.1,43936.8,1,0.79,0.1802,0.18,27,TP
BTCUSDT,LONG,2024-01-08 11:18:00,2024-01-08 11:20:00,43974.1,43996.1,44084.1,0,0.4,0.1801,0.09,2,TP
